security_id,symbol,name
SEM_SMST_SECURITY_ID,SEM_TRADING_SYMBOL,SEM_CUSTOM_SYMBOL
23806,ABSLPSE.NS,Aditya Birla Nifty PSE ETF
7412,ALPHA.NS,Kotak Nifty Alpha 50 ETF
19640,ALPHAETF.NS,Mirae Asset Nifty 200 Alpha 30 ETF
22344,ALPL30IETF.NS,ICICI Pru Nifty Alpha Low Volatility 30
7844,AUTOIETF.NS,ICICI Pru Nifty Auto ETF
11439,BANKBEES.NS,Nippon Nifty Bank ETF (BANKBEES)
5220,BFSI.NS,Mirae Asset Nifty Financial Service ETF
3001,BSE500IETF.NS,ICICI Pru BSE 500 ETF
13198,COMMOIETF.NS,ICICI Pru Nifty Commodities ETF
2435,CONSUMBEES.NS,Nippon Nifty Cons. ETF (CONSUMBEES)
2328,CPSEETF.NS,Nippon India CPSE ETF
2636,DIVOPPBEES.NS,Nippon Nifty 50 DO ETF (DIVOPPBEES)
25996,EMULTIMQ.NS,Edelweiss Nifty 500 Multicap MQ 50 ETF
1200,ESG.NS,Mirae Asset Nifty 100 ESG Sector Leader
24461,EVINDIA.NS,Mirae Asset Nifty EV & New Age Auto ETF
12578,FINIETF.NS,ICICI Pru Nifty Fin Svc Ex-Bank ETF
5306,FMCGIETF.NS,ICICI Pru Nifty FMCG ETF
14428,GOLDBEES.NS,Nippon Gold ETF (GOLDBEES)
11241,HDFCGROWTH.NS,HDFC Nifty Growth Sectors 15 ETF
11255,HDFCQUAL.NS,HDFC Nifty 100 Quality 30 ETF
6297,HEALTHY.NS,Aditya Birla Nifty Healthcare ETF
18284,HNGSNGBEES.NS,Nippon Hang Seng ETF (HNGSNGBEES)
522,ICICIB22.NS,ICICI Pru Bharat 22 ETF
18783,IDFNIFTYET.NS,Bandhan Nifty 50 ETF
19084,ITBEES.NS,Nippon Nifty IT ETF (ITBEES)
21254,LOWVOLIETF.NS,ICICI Pru Nifty 100 Low Vol 30 ETF
3507,MAFANG.NS,Mirae Asset NYSE FANG+ ETF
7074,MAHKTECH.NS,Mirae Asset Hang Seng Tech ETF
7979,MAKEINDIA.NS,Mirae Asset Nifty India Mfg. ETF
5782,MASPTOP50.NS,Mirae Asset S&P 500 Top 50 ETF
24861,METALIETF.NS,ICICI Pru Nifty Metal ETF
8077,MIDCAP.NS,Kotak Nifty Midcap 50 ETF
8413,MIDCAPETF.NS,Mirae Asset Nifty Midcap 150 ETF
7456,MIDQ50ADD.NS,DSP Nifty Midcap 150 Quality 50 ETF
17702,MIDSELIETF.NS,ICICI Pru BSE Midcap Select ETF
23855,MIDSMALL.NS,Mirae Asset Nifty MS400 MQ 100 ETF
10676,MNC.NS,Kotak Nifty MNC ETF
24944,MODEFENCE.NS,Motilal Oswal Nifty India Defence ETF
10508,MOHEALTH.NS,Motilal Oswal Sensex Healthcare ETF
21423,MOM100.NS,Motilal Oswal Midcap 100 ETF
10585,MOM30IETF.NS,ICICI Pru Nifty 200 Momentum 30 ETF
25606,MOMENTUM50.NS,Motilal Oswal Nifty 500 Momentum 50 ETF
22739,MON100.NS,Motilal Oswal Nasdaq 100 ETF
19237,MONIFTY500.NS,Motilal Oswal Nifty 500 ETF
7422,MONQ50.NS,Motilal Oswal Nasdaq Quality 50 ETF
23184,MOREALTY.NS,Motilal Oswal Nifty Realty ETF
23181,MOSMALL250.NS,Motilal Oswal Nifty Smallcap 250 ETF
10825,MOVALUE.NS,Motilal Oswal BSE Enhanced Value ETF
25080,MULTICAP.NS,Mirae Asset Nifty 500 Multicap ETF
4529,NEXT50IETF.NS,ICICI Pru Nifty Next 50 ETF
10576,NIFTYBEES.NS,Nippon Nifty 50 ETF (NIFTYBEES)
10690,NIFTYQLITY.NS,Aditya Birla Nifty 200 Quality 30 ETF
17475,NV20IETF.NS,ICICI Pru Nifty 50 Value 20 ETF
24533,OILIETF.NS,ICICI Pru Nifty Oil & Gas ETF
4973,PHARMABEES.NS,Nippon Pharma ETF (PHARMABEES)
15061,PSUBANK.NS,Kotak Nifty PSU Bank ETF
11386,PVTBANIETF.NS,ICICI Pru Nifty Private Bank ETF
4378,SENSEXIETF.NS,ICICI Pru Sensex ETF
17044,SHARIABEES.NS,Nippon India Nifty 50 Shariah ETF
8080,SILVERBEES.NS,Nippon Silver ETF (SILVERBEES)
22832,SMALLCAP.NS,Mirae Ast Nifty Smallcap 250 MQ 100 ETF
8882,TNIDETF.NS,Tata Nifty India Digital ETF
24081,TOP100CASE.NS,Zerodha Nifty 100 ETF
25171,TOP10ADD.NS,DSP Nifty Top 10 Equal Weight ETF
9168,UTISXN50.NS,UTI Sensex Next 50 ETF
25851,VAL30IETF.NS,ICICI Pru Nifty 200 Value 30 ETF



