SEM_EXM_EXCH_ID,SEM_SMST_SECURITY_ID,SEM_TRADING_SYMBOL,SEM_CUSTOM_SYMBOL,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,23806,ABSLPSE,Aditya Birla Nifty PSE ETF,ETF,EQ,BIRLASLAMC-ABSLPSE
NSE,7412,ALPHA,Kotak Nifty Alpha 50 ETF,ETF,EQ,KOTAKMAMC - KOTAKALPHA
NSE,19640,ALPHAETF,Mirae Asset Nifty 200 Alpha 30 ETF,ETF,EQ,MIRAEAMC - ALPHAETF
NSE,22344,ALPL30IETF,ICICI Pru Nifty Alpha Low Volatility 30,ETF,EQ,ICICIPRAMC - ICICIALPLV
NSE,7844,AUTOIETF,ICICI Pru Nifty Auto ETF,ETF,EQ,ICICIPRAMC - ICICIAUTO
NSE,11439,BANKBEES,Nippon Nifty Bank ETF (BANKBEES),ETF,EQ,NIP IND ETF BANK BEES
NSE,5220,BFSI,Mirae Asset Nifty Financial Service ETF,ETF,EQ,MIRAEAMC - MAFSETF
NSE,3001,BSE500IETF,ICICI Pru BSE 500 ETF,ETF,EQ,ICICIPRAMC - ICICI500
NSE,13198,COMMOIETF,ICICI Pru Nifty Commodities ETF,ETF,EQ,ICICIPRAMC - ICICICOMMO
NSE,2435,CONSUMBEES,Nippon Nifty Cons. ETF (CONSUMBEES),ETF,EQ,NIP IND ETF CONSUMPTION
NSE,2328,CPSEETF,Nippon India CPSE ETF,ETF,EQ,CPSE ETF
NSE,2636,DIVOPPBEES,Nippon Nifty 50 DO ETF (DIVOPPBEES),ETF,EQ,NIP IND ETF DIV OPP
NSE,25996,EMULTIMQ,Edelweiss Nifty 500 Multicap MQ 50 ETF,ETF,EQ,EDELAMC - EMULTIMQ
NSE,1200,ESG,Mirae Asset Nifty 100 ESG Sector Leader,ETF,EQ,MIRAEAMC - MAESGETF
NSE,24461,EVINDIA,Mirae Asset Nifty EV & New Age Auto ETF,ETF,EQ,MIRAEAMC - EVINDIA
NSE,12578,FINIETF,ICICI Pru Nifty Fin Svc Ex-Bank ETF,ETF,EQ,ICICIPRAMC-ICICIFIN
